"treeID","x","y","height_m"
315,712588.2,3909977,4.47400236129761
316,712599,3909977,10.8199968338013
317,712491,3909976.6,10.4830017089844
318,712413.8,3909976.2,8.53900146484375
319,712421.8,3909976.2,2.75999808311462
320,712489,3909976.2,10.1290006637573
321,712607.4,3909976.2,11.6790018081665
322,712645.8,3909976.2,5.98099899291992
323,712559.4,3909975.8,7.83399868011475
324,712619.4,3909975.8,10.4019994735718
325,712452.6,3909975.4,13.2989988327026
326,712535,3909975.4,10.342001914978
327,712601.4,3909975.4,10.4420003890991
328,712630.2,3909975.4,6.05500030517578
329,712415.8,3909975,8.67999935150146
330,712499.4,3909975,17.9709987640381
331,712540.6,3909975,12.745997428894
332,712611.4,3909975,12.2120027542114
333,712441.8,3909974.6,16.6389999389648
334,712455.4,3909974.6,13.6519985198975
335,712471.8,3909974.6,2.26100087165833
336,712477.8,3909974.6,10.4839992523193
337,712486.6,3909974.6,9.85199928283691
338,712543.8,3909974.6,13.499002456665
339,712583,3909974.6,7.18099784851074
340,712435,3909974.2,4.16300010681152
341,712503.4,3909974.2,20.0519981384277
342,712620.2,3909974.2,10.5099973678589
343,712648.6,3909974.2,5.52299690246582
344,712459.4,3909973.8,12.8360004425049
345,712519,3909973.8,22.8660011291504
346,712645.8,3909973.8,5.75699901580811
347,712454.2,3909973.4,13.871997833252
348,712505.4,3909973.4,19.5080032348633
349,712529.4,3909973.4,11.1750001907349
350,712627.4,3909973.4,7.28099632263184
351,712481.4,3909973,11.5530023574829
352,712581.4,3909973,6.55499601364136
353,712630.6,3909973,6.62599658966064
354,712649.4,3909973,5.48099946975708
355,712653.8,3909973,5.97400236129761
356,712658.6,3909973,2.12499618530273
357,712451.8,3909972.6,14.3519983291626
358,712457.4,3909972.6,13.6770009994507
359,712517.8,3909972.6,22.8050022125244
360,712547,3909972.6,12.5189971923828
361,712608.2,3909972.6,11.786997795105
362,712612.2,3909972.6,11.9919996261597
363,712444.2,3909972.2,18.6049957275391
364,712491,3909972.2,11.0739965438843
365,712493.8,3909972.2,10.7399997711182
366,712594.2,3909972.2,4.22999668121338
367,712615.4,3909972.2,11.5599966049194
368,712534.2,3909971.8,12.9569978713989
369,712492.6,3909971.4,10.7530031204224
370,712578.2,3909971.4,6.20099878311157
371,712621.8,3909971.4,9.82200241088867
372,712413.4,3909971,2.1320013999939
373,712454.2,3909971,14.9899988174438
374,712457.8,3909971,13.7599992752075
375,712496.2,3909971,7.69100093841553
376,712537.4,3909971,12.3829975128174
377,712627.8,3909971,7.21900224685669
378,712424.2,3909970.6,15.4139966964722
379,712490.6,3909970.6,11.1470022201538
380,712554.2,3909970.6,11.8039999008179
381,712579.8,3909970.6,6.46499919891357
382,712635,3909970.6,4.05300188064575
383,712479,3909970.2,10.8660020828247
384,712660.2,3909969.8,4.67300224304199
385,712669,3909969.8,9.35600280761719
386,712415.4,3909969.4,3.09400296211243
387,712451,3909969,14.2259979248047
388,712460.2,3909969,12.5210018157959
389,712543.8,3909969,11.3600015640259
390,712667,3909969,9.86699676513672
391,712527,3909968.6,11.2480030059814
392,712530.2,3909968.6,12.4499998092651
393,712551.8,3909968.6,10.5469980239868
394,712563,3909968.6,10.51500415802
395,712673.4,3909968.6,6.09099721908569
396,712414.2,3909968.2,2.58399891853333
397,712435,3909968.2,7.03799867630005
398,712457.8,3909968.2,12.9359998703003
399,712661,3909968.2,3.6659984588623
400,712480.2,3909967.8,9.76399898529053
401,712538.6,3909967.8,11.8169984817505
402,712581,3909967.8,3.23000073432922
403,712584.2,3909967.8,3.46300315856934
404,712606.6,3909967.8,9.88800144195557
405,712634.6,3909967.4,2.33199739456177
406,712521.4,3909967,9.47099781036377
407,712550.2,3909967,10.5279960632324
408,712585.4,3909967,3.3800003528595
409,712671.4,3909967,7.12299680709839
410,712549,3909966.6,10.4980001449585
411,712483.8,3909966.2,10.0490026473999
412,712583.8,3909966.2,3.47799634933472
413,712597,3909966.2,4.17600107192993
414,712632.6,3909966.2,2.35199642181396
415,712524.6,3909965.8,9.22800159454346
416,712664.6,3909965.8,9.8560037612915
417,712432.6,3909965.4,6.57099771499634
418,712455,3909965.4,9.63200283050537
419,712559,3909965.4,9.71500110626221
420,712566.2,3909965.4,9.82299995422363
421,712625.4,3909965.4,3.22299647331238
422,712452.2,3909965,9.44500160217285
423,712457,3909965,9.72799968719482
424,712516.2,3909965,10.915002822876
425,712555.4,3909965,7.82200145721436
426,712562.2,3909965,10.4860038757324
427,712468.6,3909964.6,10.1149978637695
428,712501.8,3909964.6,5.36400079727173
429,712627.4,3909964.6,3.25499892234802
430,712637,3909964.6,2.3549976348877
431,712643,3909964.6,3.3769998550415
432,712649.8,3909964.6,5.97399663925171
433,712480.6,3909964.2,10.7060012817383
434,712517,3909963.8,10.8829975128174
435,712526.2,3909963.8,9.07499980926514
436,712653.8,3909963.8,6.62499952316284
437,712679.4,3909963.8,2.15100193023682
438,712429.8,3909963.4,6.2939977645874
439,712445.4,3909963.4,3.67200136184692
440,712495.4,3909963.4,7.298996925354
441,712635.4,3909963.4,2.75599884986877
442,712688.6,3909963.4,4.47800064086914
443,712463.8,3909963,11.9640007019043
444,712470.6,3909963,11.2419996261597
445,712477.8,3909963,11.5749988555908
446,712485.8,3909963,8.58300113677979
447,712500.6,3909963,6.12400102615356
448,712515,3909963,11.1500024795532
449,712407,3909962.6,2.0720009803772
450,712453.4,3909962.6,3.80899977684021
451,712661,3909962.6,2.15799999237061
452,712512.6,3909962.2,9.72900295257568
453,712625,3909962.2,2.63199782371521
454,712683,3909962.2,2.21999835968018
455,712482.6,3909961.8,10.5589971542358
456,712521,3909961.8,10.0290031433105
457,712552.6,3909961.8,9.21899890899658
458,712664.2,3909961.8,5.02600002288818
459,712450.2,3909961.4,4.77400016784668
460,712455.8,3909961.4,3.40400218963623
461,712478.6,3909961.4,11.4259977340698
462,712684.6,3909961.4,2.20899677276611
463,712406.2,3909961,2.10000085830688
464,712437.4,3909961,5.52999877929688
465,712439.4,3909961,6.37299919128418
466,712464.2,3909961,12.5830001831055
467,712472.6,3909961,11.4410018920898
468,712689,3909961,4.15000247955322
469,712645.8,3909960.6,6.3619966506958
470,712686.2,3909960.6,2.20499849319458
471,712447.8,3909960.2,3.61199808120728
472,712508.2,3909960.2,7.80499744415283
473,712519,3909960.2,9.46900367736816
474,712535.4,3909960.2,7.13599920272827
475,712495.8,3909959.8,7.51999711990356
476,712555.4,3909959.8,11.8670034408569
477,712458.2,3909959.4,3.29900026321411
478,712511.8,3909959.4,9.5469970703125
479,712520.6,3909959.4,9.11399745941162
480,712547.8,3909959.4,10.5469970703125
481,712635.8,3909959.4,3.13799810409546
482,712655.4,3909959.4,7.93900012969971
483,712481.8,3909959,10.6830005645752
484,712525,3909959,7.38799810409546
485,712576.6,3909959,9.03500366210938
486,712487.8,3909958.6,9.64399909973145
487,712492.6,3909958.6,6.19600248336792
488,712515,3909958.6,10.1230020523071
489,712485,3909958.2,9.70100021362305
490,712571,3909958.2,11.6259994506836
491,712596.6,3909958.2,2.95100092887878
492,712613,3909958.2,5.16199636459351
493,712688.2,3909958.2,2.09500288963318
494,712429,3909957.8,8.10500049591064
495,712469,3909957.8,14.7929992675781
496,712473,3909957.8,11.4019966125488
497,712476.2,3909957.8,13.0830011367798
498,712478.2,3909957.8,13.355001449585
499,712499,3909957.8,6.16000318527222
500,712501.4,3909957.8,5.11999988555908
501,712535.4,3909957.8,7.82200241088867
502,712594.2,3909957.8,3.08500194549561
503,712619,3909957.8,4.08400058746338
504,712444.6,3909957.4,4.22100353240967
505,712483.4,3909957.4,10.1749982833862
506,712513,3909957.4,9.93200206756592
507,712520.2,3909957.4,8.71799945831299
508,712546.2,3909957.4,10.7700023651123
509,712488.2,3909957,9.47099876403809
510,712496.6,3909957,6.23800134658813
511,712517.8,3909957,8.8310022354126
512,712552.6,3909957,14.5800008773804
513,712561,3909957,15.7579965591431
514,712583.8,3909957,9.67100238800049
515,712591.8,3909957,3.51899719238281
516,712633.8,3909957,4.11299800872803
517,712466.6,3909956.6,16.7890033721924
518,712540.2,3909956.6,5.552001953125
